model,id,closestMatch
900 FUSION DUAL SKAG,5047,No Match Found
XLT CLASSIC/RMK/SP/TOURING,5071,No Match Found
SAFARI DELUXE / L / RALLY,5093,No Match Found
GSX 500SS / 600 HO / 800 HO,5157,No Match Found
GTX 500SS / 600 HO /800 HO,5158,No Match Found
MX Z 500/600/700/800,5163,No Match Found
MX Z 500SS TRAIL/ADRENALINE,5164,No Match Found
MX Z 600/800 HO X/RENEGADE,5166,No Match Found
MX Z 380F/550F (BLOWMOLDED),5191,No Match Found
GSX SPORT/LIMITED/LE/SE,5200,No Match Found
RENEGADE /ADRENALINE XR/XP/BC/X,5207,No Match Found
600 INDY VOYAGEUR/INTL 144,5292,No Match Found
600 RUSH PRO S ALL OPTIONS,5296,No Match Found
"Ski MIRAGE 11, 11E, SP",5305,No Match Found
"SKANDIK, NORDIK, MIRAGE",5307,No Match Found
"TNT  18” TRACK, 440S",5312,No Match Found
246  BRAVO BR250H-T,5314,No Match Found
"PANTHER, PUMA, CHEETAH",5315,No Match Found
"PANTHER, DLX, MTN CAT",5322,No Match Found
"INDY, INDY SKS, INDY CLASSIC",5340,No Match Found
"GP  GP433F,G,GP433,A,B",5348,No Match Found
"INDY, CLASSIC, SKS, SP,SPX,EFI",5364,No Match Found
"EXT, EXT  SP, MTN CAT",5368,No Match Found
"INDY XLT SP, XC, LTD SP",5397,No Match Found
"INDY XLT, RMK, XLT SP",5398,No Match Found
"INDY, CARB, SKS, RMK",5405,No Match Found
"INDY, CLASSIC, SKS, RMK,EFI",5406,No Match Found
"ZR 600, EFI, LE, XC",5435,No Match Found
"INDY XC, XC SP, XC DLX",5442,No Match Found
"VX600 V-MAX ER, DLX, SX",5454,No Match Found
"ZR 600, EFI, EFI LE",5466,No Match Found
RMK 151' BEFORE 3/01,5475,No Match Found
"500 SS MX Z, TRAIL",5487,No Match Found
MX Z ADRENALINE /TNT,5489,No Match Found
"ZL 600, ZL 600 EFI",5514,No Match Found
"Z 570, ESR, SS, LX",5524,No Match Found
"GSX, GTX 600 HOSPORT,LTD",5542,No Match Found
